File Name	Fit Status	Acp ± Uncertainty	Acp_Ds ± Uncertainty	N_total ± Uncertainty	N_total_Ds ± Uncertainty	acp_ratio	acp_ds_ratio	n_total_ratio	n_total_ds_ratio
MC15rd_etapip_gg_fit_opt_loose_v7_fitv1_bdt_train_Dp_CMS_p_all_0.61.root	Not Converged	0.23324155882182088 ± 0.0007969591220787081	0.020762142898471496 ± 0.000515511178615282	44631.94989952459 ± 17.063824233136984	102477.7515783166 ± 202.22552135908336	292.6643943963613	40.274864561115486	2615.5889377277963	506.74984487418465
MC15rd_etapip_gg_fit_opt_loose_v7_fitv1_bdt_train_Dp_CMS_p_all_0.62.root	Converged	0.00026936286870463697 ± 0.006968013624672721	-0.0006178901135329946 ± 0.0038546686509831588	38043.23573553876 ± 376.10636488765886	90066.5409180197 ± 392.54505831428105	0.038657052527977596	-0.16029655710495314	101.1502045356294	229.44255445424625
MC15rd_etapip_gg_fit_opt_loose_v7_fitv1_bdt_train_Dp_CMS_p_all_0.63.root	Converged	0.0010618488125576663 ± 0.0069293465139996105	-0.0003516779083423855 ± 0.0038571118451474905	37855.57523978307 ± 368.64476024869873	89151.09099085936 ± 387.70715744859626	0.1532393870637548	-0.09117648708704683	102.68849396976259	229.94440334179117
MC15rd_etapip_gg_fit_opt_loose_v7_fitv1_bdt_train_Dp_CMS_p_all_0.64.root	Converged	0.0013777079299354166 ± 0.006908619498798948	-0.00061653367189535 ± 0.0038703177709951925	37658.348152485305 ± 366.868357858184	88178.373188072 ± 384.41115453869133	0.19941870154738278	-0.15929794615722673	102.6481225373011	229.38557361554598
MC15rd_etapip_gg_fit_opt_loose_v7_fitv1_bdt_train_Dp_CMS_p_all_0.65.root	Converged	0.0020391031881047145 ± 0.006887312670371225	-0.00048716108849942747 ± 0.0038793835921801193	37403.65037734057 ± 362.26247827049883	87208.93351996192 ± 380.38430459771917	0.2960665916732378	-0.12557693172735587	103.25013662997007	229.2653310503728
MC15rd_etapip_gg_fit_opt_loose_v7_fitv1_bdt_train_Dp_CMS_p_all_0.66.root	Converged	0.00248282894672587 ± 0.006865137866859048	-0.0007887831618887377 ± 0.003890055747829499	37151.90316659419 ± 357.3804052086307	86183.18018366038 ± 376.2339600239429	0.3616575507844562	-0.20276911515441604	103.9561840132386	229.0680516404628
MC15rd_etapip_gg_fit_opt_loose_v7_fitv1_bdt_train_Dp_CMS_p_all_0.67.root	Converged	0.0029061095343610992 ± 0.006848365268739781	-0.0005506549437414418 ± 0.0039017378580731526	36861.54199354041 ± 352.6343143727827	85138.40248294463 ± 372.0994497635984	0.42435083707149784	-0.14113068683024724	104.53192015389837	228.80550491820028
MC15rd_etapip_gg_fit_opt_loose_v7_fitv1_bdt_train_Dp_CMS_p_all_0.68.root	Converged	0.0036928351184250825 ± 0.006827722658745839	-0.0009006087818911286 ± 0.003913147278392015	36599.02590842482 ± 347.9433012680274	84101.80512123146 ± 367.971337982417	0.5408589808045026	-0.23014947248834589	105.18675248250256	228.5553151567749
MC15rd_etapip_gg_fit_opt_loose_v7_fitv1_bdt_train_Dp_CMS_p_all_0.69.root	Not Converged	-0.15764753680339497 ± 0.0012666881271455877	-0.12637630062314945 ± 0.0018170102839776062	26669.95102914679 ± 35.83034265245078	121778.62032220428 ± 55383.92894650407	-124.45647308516664	-69.55178060219882	744.3398263823908	2.1988078967787126
MC15rd_etapip_gg_fit_opt_loose_v7_fitv1_bdt_train_Dp_CMS_p_all_0.70.root	Converged	0.003577566612639625 ± 0.006790591290437987	-0.00020454567920843812 ± 0.003939854766081313	36021.65874761756 ± 338.36789631158535	81910.6131959701 ± 359.5133190219058	0.526841693105178	-0.05191706074279606	106.45708159750207	227.83749269378012
