bdt_cut,N_total,sigma_N_total,N_over_sigma
0.61,19056.325795288627,191.71986370147715,99.39672096241847
0.62,18946.130302887897,190.00591523162075,99.71337092212214
0.63,18815.98463270216,188.30518505153123,99.92281746014064
0.64,18688.624163614564,186.52632034949056,100.19296005302667
0.65,18562.483111154128,184.79318876404614,100.45003950256903
0.66,18444.200167313666,183.10622013908323,100.729511828183
0.67,18328.787353902022,181.49339121776939,100.98873149551638
0.68,18223.113727619002,179.80179648091143,101.35112153650617
0.69,18103.985780362684,178.1288847837859,101.6341948266135
0.7,17955.923719089278,176.3729479812664,101.80656344756726
0.71,17787.268947662407,174.58882744535367,101.88091189987415
0.72,17569.895887508912,172.58508547275596,101.8042540546325
0.73,17415.63319529735,170.89316586618224,101.90947722821547
0.74,17244.439975574503,169.15059099551036,101.94726411586826
0.75,17040.38211964324,167.1916421356691,101.92125576358461
0.76,16832.14117379004,165.27007737850727,101.84627151375072
0.77,16607.32932519548,163.19879527550256,101.76134754646911
0.78,16363.822763041127,161.0025390610017,101.63704782842645
0.79,16087.28073398843,158.64449738776602,101.40459328171448
0.8,15755.970453271913,156.0877095202586,100.9430563219774
0.81,15396.601862737176,153.39384253759272,100.37301111981651
0.82,15031.042637664465,150.5864092002148,99.81672793379167
0.83,14604.957757354,147.63311709225763,98.92738191138505
0.84,14160.60996968698,144.5159106137162,97.98651172421827
0.85,13652.09213942378,140.95567638350894,96.85379467996367
0.86,13076.358205160854,137.06778620712703,95.40066683064974
0.87,12461.507566468736,132.95165022733818,93.72961934026705
0.88,11762.104491119417,128.26194545560247,91.703774251505
0.89,10962.827307323469,122.95926434522426,89.1582050828142
0.9,10143.505633611712,117.49099842197847,86.3343215212155
