bdt_cut,N_total,sigma_N_total,N_over_sigma
0.65,362531.0094928941,814.0690966441834,445.33198838691527
0.66,358393.8578680643,804.3865937468844,445.5492677950321
0.67,354450.4446897952,794.7863130806153,445.9694874663037
0.68,350386.01699249586,785.3214129882314,446.16893312413305
0.69,346066.31634244067,775.7421119802995,446.1100035667901
0.7,341576.25141629507,765.9675561195438,445.94088703541064
0.71,337167.91253638733,756.3862940425508,445.761531101223
0.72,332510.293099241,746.791526898049,445.25182882080935
0.73,327553.4507499674,736.744262613174,444.59586232563396
0.74,322615.1356259817,726.9081683005445,443.8182836495443
0.75,317300.92001016694,716.7215971044567,442.71153721620414
0.76,311937.6074375105,706.4606061265059,441.5498963882097
0.77,306298.0792961606,696.2383614135514,439.9327820350103
0.78,300461.3192576208,685.5876588220552,438.2536870250252
0.79,294157.0026057583,674.449064975299,436.1441328657361
0.8,287538.1097794055,662.9971990246831,433.694305499925
0.81,280443.61785209447,651.0502591508863,430.7557118829122
0.82,272628.5869037062,638.2464374114898,427.1525400273207
0.83,264726.8403149091,625.0286983169975,423.5434965270137
0.84,256320.23011753144,611.3211073501313,419.28902345379873
0.85,247238.53399325654,596.706174512524,414.33882294788856
0.86,237284.28722041013,581.2450241899425,408.23452648236184
0.87,226063.10070346566,563.9258873712931,400.87377750513514
0.88,213705.86090684956,544.9167754866086,392.18073386713235
0.89,199491.96454830607,523.3687649271349,381.16903016954024
0.9,183538.98371286187,498.9339897102848,367.86225732874436
