bdt_cut,N_total,sigma_N_total,N_over_sigma
0.75,20673.2038018793,238.01056592853777,86.8583448017446
0.76,20293.305681884944,233.0061789362101,87.09342290635402
0.77,19941.267431018005,228.97109421507994,87.09076357160842
0.78,19553.004982320203,223.8864391314055,87.33447661313677
0.79,19147.987571144888,218.369765325715,87.68607477589316
0.8,18762.952446838342,213.39589759067806,87.9255536712716
0.81,18378.678825903677,209.04783172881773,87.91614184138
0.82,17983.311862709583,204.0687200606022,88.12380387042701
0.83,17512.49711114178,199.09280761608514,87.96147545877949
0.84,16992.699368980193,193.95809067721325,87.61016005905931
0.85,16410.619504562415,188.61804225545038,87.00450555168567
0.86,15826.043224319936,183.4549717965177,86.26663572723267
0.87,15270.989931118049,177.5210243650332,86.02355684764748
0.88,14576.450352759884,171.60908876534373,84.93985055005771
0.89,13866.766774469297,165.1004958150897,83.9898554272053
0.9,13185.955260220628,158.97290285708166,82.9446718481007
0.91,12421.769703258715,152.34778845711165,81.53560894489547
0.92,11561.451746126595,144.56810853585839,79.97235256943902
0.93,10499.60931645051,135.87064627661454,77.27650971111673
0.94,9374.040760257227,126.65830216899474,74.01047226852802
0.95,8165.5704254545935,116.24613897565067,70.24379904062864
0.96,6728.877872197736,103.9474965744653,64.73342883613692
0.97,5096.801124800959,88.61653733662787,57.51523674909264
0.98,3121.2814858577462,68.69836506268759,45.43458178385413
0.99,949.9700979214709,37.40250957579467,25.398565729831446
