bdt_cut,N_total,sigma_N_total,N_over_sigma
0.51,187800.66554930448,513.6047300414187,365.65213395554133
0.52,186520.95564014924,510.47595567909906,365.38636847648525
0.53,185245.06375483022,507.441239652684,365.05717170646284
0.54,183985.9809626142,504.433088325483,364.7381292400433
0.55,182653.480518753,501.3933967825538,364.29175511852
0.56,181360.71155302308,498.4001001374334,363.8857847400372
0.57,179916.6908254362,495.266009061783,363.2728423383324
0.58,178329.47704427963,491.97381840781225,362.4775757811909
0.59,176835.53985715588,488.7635379149736,361.8018246850455
0.6,175187.14732900175,485.38146523551035,360.92673469515313
0.61,173648.3988408596,482.1275378874348,360.1710858536405
0.62,172036.43632219417,478.82018531389673,359.29236402056335
0.63,170273.85449466167,475.38933787542527,358.17768916660384
0.64,168628.43341080716,472.0617275616837,357.2169137324794
0.65,166857.95243992365,468.49374146741985,356.1583382465043
0.66,165033.72519180167,464.92154896211116,354.9711248278817
0.67,163152.0952453223,461.2919205747723,353.6851350919693
0.68,161232.3794394625,457.50564861937426,352.41615032736166
0.69,159208.3912507338,453.6590091469664,350.9428624598459
0.7,157244.18154688174,449.90701291520253,349.50373528967145
0.71,155072.86336717254,445.93586274470425,347.74701099998964
0.72,152803.6334067979,441.76826710980924,345.8909224206814
0.73,150413.9554466874,437.38427528021174,343.8942914678956
0.74,147887.64631198213,432.8670936217226,341.64677447442887
0.75,145268.82142216497,428.18298448522637,339.2680855751688
0.76,142338.05390884972,423.0351449675952,336.4686258390019
0.77,139376.85223823838,417.78950448019464,333.6054418400201
0.78,136214.1268328894,412.2192609242762,330.4409564159391
0.79,132602.57916883368,405.876357348835,326.70683267926074
0.8,128832.02777436572,399.2748300827997,322.66503688111055
0.81,124893.06352412165,392.32832986529974,318.33812145812124
0.82,120591.69809467714,384.77440840149336,313.40883245240565
0.83,115880.35124337695,376.39401662285616,307.8698016591697
0.84,110697.10557116754,367.05675291101,301.5803542456694
0.85,105204.95298339037,356.8755016667684,294.79455017796437
0.86,99105.07039319968,345.2575879781256,287.04675536190865
0.87,92561.990026668,332.20959497774606,278.6252758077879
0.88,85296.55990088967,316.8003552714445,269.2438896661113
0.89,77535.30062748748,298.57841173071733,259.68153617688614
0.9,69497.97409138818,276.10128428848725,251.71188272624084
