bdt_cut,N_total,sigma_N_total,N_over_sigma
0.61,11486.648129650544,150.57425547406586,76.28560469043093
0.62,11413.37315040028,149.23922722631696,76.47703196085457
0.63,11289.611993849663,147.65161214951985,76.46114952281864
0.64,11192.047079548212,146.13247043673587,76.58836565274868
0.65,11097.377256451784,144.66379064370932,76.71150608643582
0.66,10976.024308987764,143.2778891594961,76.60654671405243
0.67,10830.563868474557,141.61316656935816,76.47992154154713
0.68,10694.395707254213,140.0136751861146,76.38107986979543
0.69,10584.638568931608,138.43048606243278,76.46175976119804
0.7,10437.700694325742,136.7129699508394,76.34755281871963
0.71,10319.932289123557,135.15604169952675,76.35568606001645
0.72,10166.7437791089,133.3941293173912,76.21582622214706
0.73,9982.02626467255,131.36847629042384,75.98494362227899
0.74,9793.213146321206,129.61288437880143,75.55740459953005
0.75,9588.730675295448,127.5789237406305,75.15920650647166
0.76,9440.125440321295,125.86122764711945,75.00423773704823
0.77,9242.650204575304,123.7701358883471,74.67593162306203
0.78,9056.377734040167,121.86893352241108,74.3124393746725
0.79,8853.220280249263,119.87896327297422,73.85132502430602
0.8,8665.715960085523,117.97421085577048,73.45432444282085
0.81,8510.29769582769,116.255352369683,73.20349147250963
0.82,8298.717394487825,114.2646844415391,72.62714140460146
0.83,8098.56053128854,112.30079402750258,72.11490000066424
0.84,7836.234048667229,109.93653338765608,71.27961749562589
0.85,7564.056904861543,107.4854896795822,70.37281894895997
0.86,7282.825734589693,104.99439111428298,69.36395037200201
0.87,7004.6326992396325,102.39250221485526,68.40962519444504
0.88,6701.685334780338,99.74645402078505,67.18720380158926
0.89,6387.844580060226,96.8332751180007,65.96745356672095
0.9,6019.496719185585,93.53351853026582,64.35657306356737
0.91,5639.993479814687,90.09966884901337,62.597272019567995
0.92,5222.3863566406235,86.0405953141291,60.696771536435804
0.93,4705.816021832243,81.46901578828391,57.76203353261803
0.94,4151.639126055612,76.14297465936167,54.52425709172335
0.95,3531.4076143857787,69.9227148050391,50.504440856339315
0.96,2811.4725707900134,62.18695341335329,45.21000654433589
0.97,1990.1143204175853,52.251989298741215,38.08686228268688
0.98,1030.2603620068796,37.78751050004819,27.264573621635268
0.99,125.34415455648373,13.044661993341139,9.608846486054427
