bdt_cut,N_total,sigma_N_total,N_over_sigma,acp_unc,acp_Ds_unc
0.65,47252.25541692338,442.1892054814962,106.85981211475026,0.006554572928982505,0.004285387983441934
0.66,46892.902137397316,435.5364042411311,107.66700941819654,0.006530534157847998,0.004287516463405569
0.67,46525.263058279765,429.89993894743384,108.22346979669764,0.006510226138356797,0.004292257215146825
0.68,46274.98877245632,424.82570170248437,108.92699897160132,0.006474578072597747,0.004295348724586118
0.69,45968.58741455937,419.5109219757869,109.57661649918272,0.006446364189508459,0.004301419086356041
0.7,45668.13629730091,414.03873206349454,110.29918884568875,0.00641598963861926,0.004310239540891346
0.71,45339.37563607328,408.422696029138,111.0109111880468,0.006385826389831529,0.004317350259304312
0.72,44905.961018088055,401.7077427757795,111.78764120350336,0.006367647075351429,0.004326249071850204
0.73,44348.60793255737,394.34763708412356,112.46069143580736,0.00636153358773881,0.004333394027843988
0.74,43962.27860306556,387.41877519238915,113.47482728795019,0.0063340895062500464,0.004340841445169864
0.75,43515.705925363276,380.94999272374844,114.22944416990536,0.0063159755171681865,0.004355724298052872
0.76,42918.09640058353,374.44213284363286,114.61876919311892,0.006313170429009002,0.004371123958579616
0.77,42412.51896011698,367.7692729066148,115.32371539611061,0.006297244704555761,0.004388670971065406
0.78,41928.9045520307,361.63241497186755,115.94343542265831,0.006275970890105693,0.004405139600605748
0.79,41214.766152946075,353.74844819286227,116.50868396311931,0.00627846168480873,0.004429587632798639
0.8,40647.7257238442,346.59305648901864,117.2779574282443,0.006264500697582347,0.004457092893822623
0.81,40021.05637132441,339.5552015836183,117.86318155243718,0.006255250521457109,0.004487396424089338
0.82,39259.613495464095,331.87232628499623,118.29734023001906,0.0062565131990166434,0.004518628702293179
0.83,38585.41380656981,325.301276941329,118.6143939223732,0.00624400464002825,0.0045550914021766295
0.84,37673.62264633368,316.95958643142876,118.8593885753445,0.006256133806318245,0.004599118553819996
0.85,36688.43794687337,307.77343688731344,119.20599229720492,0.00627418902380064,0.004654552750870518
0.86,35419.38805094892,297.8855059190864,118.90269028587701,0.0063202146836528195,0.004715145712715814
0.87,34126.887536532464,287.447744441899,118.72379657315571,0.006368976876839015,0.004796235451790649
0.88,32701.708687490802,275.948918745451,118.5063845735032,0.006427158067495425,0.004901524213567758
0.89,30852.602618071367,263.465440113192,117.1030348603454,0.006551138822582521,0.005047835399241515
0.9,28650.329539289953,248.9184255557102,115.09927188125232,0.006724509075893517,0.00522150192314378
