bdt_cut,N_total,sigma_N_total,N_over_sigma
0.65,148132.3915456297,787.851572374593,188.02068402193714
0.66,147040.16273712512,778.0125874405478,188.99458069290077
0.67,146245.2617394712,768.3260676442827,190.342704612203
0.68,145069.52364606012,758.9796350801278,191.13757068164904
0.69,144056.7189592462,748.1744241750471,192.54429756548575
0.7,142797.78332950955,739.7083501495667,193.04606105992488
0.71,141583.48850313446,729.0683917281547,194.19781478597722
0.72,140185.7156787992,720.0624738360727,194.6854901797222
0.73,138875.77807816217,710.2432043988517,195.53270938467665
0.74,137491.28289733085,701.3152348121457,196.04776293525018
0.75,136176.6374933131,691.9573659608981,196.799173174794
0.76,134617.62930155784,681.8486127358791,197.4303779271651
0.77,132841.3818392523,671.2269625912307,197.90829219140164
0.78,131084.87947627914,660.9627194964908,198.3241650544787
0.79,129091.75595391434,649.717111454675,198.68917360801254
0.8,126987.4203828963,638.9545878475471,198.7424815442364
0.81,124594.7383560493,627.657046454756,198.5076708049522
0.82,122062.64956502986,615.1938775548765,198.4133035429008
0.83,119454.9297211651,603.2543679596308,198.01751311837813
0.84,116527.14303047369,590.6665319994746,197.2807611699546
0.85,113438.44608835262,579.162883604381,195.86622226613716
0.86,109467.69881197924,563.9167508152644,194.12031767760018
0.87,105186.02266297248,548.1566731012151,191.89043538935493
0.88,100384.6257662453,533.7233125346968,188.08364448146418
0.89,94817.61211456364,518.246202415236,182.95862405296052
0.9,88110.7931618601,502.5614605538656,175.323418283516
