bdt_cut,N_total,sigma_N_total,N_over_sigma
0.75,3328.239879611604,153.38212425975533,21.699007597359724
0.76,3329.5657562146203,149.93513003750397,22.206708697166437
0.77,3283.70890069556,146.5793346999007,22.40226364390631
0.78,3175.6790438062458,142.58355922828974,22.272406867903218
0.79,3113.0930794089445,138.7773286055661,22.432288549500758
0.8,3058.3567511796637,134.87638461967975,22.67525749450894
0.81,2992.1478787938186,131.66269681387843,22.725858965380233
0.82,2909.3667065044906,127.68901119674274,22.78478530953419
0.83,2876.018512718814,123.91471700365555,23.209660500890863
0.84,2728.8037485160353,119.93024804194395,22.753256939497646
0.85,2668.2079786747368,115.95477527067234,23.01076408838152
0.86,2634.300795572312,111.93748597994362,23.533678396567815
0.87,2577.497471516676,107.75566999992262,23.91983151808649
0.88,2437.9922737146935,103.07568017652711,23.652449050439394
0.89,2346.1434504481604,98.23118692404684,23.883895979616106
0.9,2240.820194479593,93.58951674664752,23.943068330458726
0.91,2142.7276127406576,88.54363891197733,24.199678701603602
0.92,1978.643952733792,82.62521566392103,23.94721680100598
0.93,1818.8871290029979,76.46677926394098,23.786631874800573
0.94,1629.255836122482,69.89880315958098,23.30878015754925
0.95,1435.840860624966,62.77541826102173,22.872660993746063
0.96,1161.3713457901927,54.072771834224504,21.477932541551738
0.97,879.0838264299035,44.1235669017975,19.923226705275532
0.98,540.3418072614592,32.45780866869932,16.647513477474455
0.99,208.66074561017368,17.539739886054416,11.896456102868248
