bdt_cut,N_total,sigma_N_total,N_over_sigma
0.51,80025.94429422132,431.9423234775692,185.2699769032406
0.52,79779.08130295177,428.60636827695794,186.13601478594907
0.53,79484.52937263953,425.16916233020464,186.948011320982
0.54,79205.27747254701,421.8421478195472,187.76046414980067
0.55,78810.98852690878,418.5839723414602,188.2799957343294
0.56,78398.41506009075,415.37650228046675,188.74061154079266
0.57,78069.94578884236,412.0709521415923,189.4575324543057
0.58,77601.19668848395,408.60538166315536,189.91721639255488
0.59,77076.63170097792,405.08361411105375,190.27338805130574
0.6,76700.16376228858,401.74889458838936,190.9156809027975
0.61,76254.82630220524,398.24833877506813,191.475566569216
0.62,75812.40040693246,394.61929240117973,192.11529153992728
0.63,75286.39968517143,391.27023687542874,192.41535028676577
0.64,74792.04059685403,387.537991384244,192.99279621516567
0.65,74279.77469463051,383.86656098230225,193.50415546629262
0.66,73804.89484155414,380.3469115189546,194.04625778820363
0.67,73343.1601546832,377.29118570902943,194.39404611812517
0.68,72919.9081375011,373.80128600403594,195.07666470872917
0.69,72446.07064648933,370.45356216098867,195.5604643774658
0.7,71854.57704099087,366.9952931847601,195.79154930691823
0.71,71179.72529043198,363.3802781476587,195.88219166233415
0.72,70313.68747069809,359.34582711173266,195.67136214116996
0.73,69699.70457352142,355.6703298212878,195.96716039975317
0.74,69000.53907519259,352.6188355557136,195.68024199969472
0.75,68192.10408752161,348.776175659694,195.51824019670897
0.76,67365.23005480185,344.9932494752597,195.26535709688656
0.77,66464.3345727793,340.9037195334957,194.96511995742193
0.78,65489.68612167018,336.67544775809273,194.51874663793623
0.79,64382.18494137404,332.0808624049049,193.87502331547518
0.8,63057.26911861294,327.0258254759177,192.82045699860635
0.81,61621.37576812823,321.82867125161386,191.47261034412645
0.82,60159.28955689693,316.56694608066215,190.03654772462625
0.83,58456.68827409613,311.20077300311976,187.84236205451234
0.84,56679.34123959177,305.58363375409175,185.47898178736423
0.85,54646.37271742869,299.08332802207434,182.71286827928913
0.86,52337.89539922899,292.2156904698783,179.10706750575392
0.87,49872.92811951929,285.13671721247994,174.90882481597302
0.88,47076.47602509099,277.6526441638687,169.55169350847882
0.89,43873.0720052751,269.7638839078872,162.63508431786914
0.9,40592.32855074319,262.9558655391736,154.369359540664
