bdt_cut,N_total,sigma_N_total,N_over_sigma
0.61,1677.427707497947,99.45449543223309,16.866283421456025
0.62,1650.0036071227075,97.96005167400571,16.843637573953483
0.63,1635.46315777659,96.52820394644128,16.942852875249056
0.64,1601.934170319258,98.25149565217446,16.304425288245522
0.65,1592.9381753854555,93.5667719211968,17.024614002148642
0.66,1575.7467264893714,92.17235753838413,17.095653931095008
0.67,1543.5445626975936,90.52886556310237,17.050302719431286
0.68,1540.4181129170524,90.60941510884379,17.00064072885404
0.69,1523.2341196299542,87.51138069921895,17.406126008517532
0.7,1524.08432026252,86.37668328295939,17.64462656281681
0.71,1506.11345418806,84.33572300662232,17.858546775840114
0.72,1502.8589050392143,82.92076865384044,18.124034900267535
0.73,1465.1690067399802,81.32105568286316,18.01709279886705
0.74,1448.7874122270955,79.47161968395736,18.2302489616876
0.75,1452.9982300982097,78.081106137188,18.60883255861285
0.76,1435.211628321928,76.4114655703296,18.782673746794583
0.77,1435.777144729497,74.91322339443671,19.1658705856211
0.78,1430.9409019722884,73.37958962642821,19.50053017817538
0.79,1429.5795305574982,71.94139256652606,19.871446458803657
0.8,1432.2830096494072,70.53874526080322,20.304911922572774
0.81,1423.1327710094943,69.24913157981605,20.550911448892347
0.82,1433.149962774946,67.88390671145761,21.111777919125792
0.83,1420.8467248725626,66.32794226465857,21.42154085231784
0.84,1390.941220100378,64.50017268903888,21.564922419762045
0.85,1365.6003969124142,62.91566184094765,21.70525361975347
0.86,1348.623687408329,61.28540818110313,22.00562462475638
0.87,1314.4552281411177,59.37770275347766,22.137185630074452
0.88,1258.6111492650514,57.3849751996439,21.932764541350917
0.89,1226.2900553616369,55.361837477011015,22.15045799140705
0.9,1156.721581248077,52.91461309637968,21.860153813110234
0.91,1096.0047571579867,50.38041957998486,21.754577796200163
0.92,1061.0577020648382,48.012651253031024,22.099544065437417
0.93,981.0267015137042,45.08381451267705,21.760064274016806
0.94,907.8907899363636,42.20822992947028,21.50980487581318
0.95,810.0823082749287,38.630222782023935,20.970169207822686
0.96,707.1334798742585,34.807501659365144,20.315548262970502
0.97,556.4906103882967,29.675697810254924,18.752401845660803
0.98,309.50610632820565,21.312769986593352,14.522096683016722
0.99,47.80355083536247,8.029499178366304,5.953490967924685
