bdt_cut,N_total,sigma_N_total,N_over_sigma
0.65,356630.76386243606,810.0816540651762,440.2405141170409
0.66,352908.18181237474,800.8813606131752,440.6497630837347
0.67,349168.7841239125,791.7259260416985,441.02229400218295
0.68,344998.89932301716,782.1055113045556,441.1155455835586
0.69,340990.70298770355,772.7793087725281,441.25237194733955
0.7,336860.75258738437,763.3920730741783,441.26833964996104
0.71,332723.1752133841,754.3083125666602,441.09705497111366
0.72,328180.8518870252,744.7344677694293,440.6682731765684
0.73,323563.4616094826,735.0194010746872,440.21077693513087
0.74,318859.51909710077,725.3681813036735,439.5829970430024
0.75,313845.68385642685,715.5341461863436,438.6173399678585
0.76,308771.886973475,705.6806888521683,437.5518444123941
0.77,303391.5329573875,695.4872964173434,436.228719805876
0.78,297576.1616368302,684.9682269235498,434.437905205263
0.79,291458.2063042311,673.7385900426608,432.59835581894765
0.8,284952.44274060056,662.2375290057149,430.2873670847813
0.81,278044.11816655204,650.3744140754674,427.5139245165458
0.82,270662.1817178091,637.8947135857229,424.30541585204156
0.83,262854.2421232518,624.8500820772875,420.66769239975775
0.84,254360.2186639861,610.9419751874808,416.3410421847838
0.85,245270.2628496167,596.4099363173697,411.2444275561167
0.86,235490.67002336468,581.0518811983536,405.28337940786264
0.87,224770.2574465194,564.1827894569993,398.3997059939576
0.88,212882.21321562637,545.742599638101,390.0780575985735
0.89,199204.40729704016,524.8446160021409,379.54930130449804
0.9,183522.3684491663,501.056357454391,366.2709108842543
