bdt_cut,N_total,sigma_N_total,N_over_sigma
0.7,22552.990537328373,264.14188457259075,85.38210656678503
0.71,22187.930478466387,259.38310481178934,85.54115540627114
0.72,21867.244681401742,255.0614797052776,85.73323069665103
0.73,21512.91694049429,250.24587450614348,85.96711926999681
0.74,21229.84493158209,245.4870009967175,86.48052583389523
0.75,20877.36034319205,240.33264877197658,86.86859837757676
0.76,20534.68136805585,235.9579158061169,87.02688061090052
0.77,20148.183855569794,230.91815767660796,87.25248832006773
0.78,19805.168964512573,226.34152176110348,87.50126273965905
0.79,19400.156209418343,221.15781450811758,87.7208714173935
0.8,19062.01670369309,216.7792132105821,87.93286229513161
0.81,18591.56516201107,211.91894056172987,87.72960601223623
0.82,18159.845012478192,206.93227427718452,87.75743211594529
0.83,17731.592738381038,201.7589768607584,87.8850250644277
0.84,17205.0789471574,196.12304609275972,87.72594190190155
0.85,16658.572118541182,190.58610015716815,87.40706748710203
0.86,16069.520575294322,185.13722585703985,86.79789005644365
0.87,15414.001950129777,178.76357338881894,86.22563119502885
0.88,14775.096314837738,173.1879227176273,85.31250957335901
0.89,14058.755624960299,166.5396102768241,84.41688797993264
0.9,13348.703112623522,160.1145444757002,83.3697098307605
0.91,12543.686795256697,152.71907787593355,82.13568972336894
0.92,11636.602773510533,144.9440517198368,80.28341029132392
0.93,10588.419001929205,136.45316308105384,77.59746101041009
0.94,9440.237339805468,127.13060918629569,74.25621099614064
0.95,8132.400930870237,116.12024243043142,70.0343089254436
0.96,6753.320850570147,104.23819384555341,64.78739319463209
0.97,5072.711848750491,88.82221125646781,57.11084848026804
0.98,3173.376375077036,69.73023528296918,45.50933124202576
0.99,900.0951992670009,37.68721864570866,23.8833013316437
