bdt_cut,N_total,sigma_N_total,N_over_sigma
0.41,198144.9153191561,544.8111092493494,363.69470437591434
0.42,197169.95091543114,541.5667392651732,364.0732279514837
0.43,196096.16482749503,538.3445138455951,364.2577564814531
0.44,195115.4332289925,535.2505513019686,364.53102711316143
0.45,194171.9250729545,532.3201455641046,364.7653140521081
0.46,192976.302180321,529.0854770626202,364.7355872470512
0.47,191767.45848653233,525.7954381235618,364.718756729622
0.48,190574.8936329451,522.6384994841709,364.63998312607475
0.49,189402.65158955686,519.5646091496636,364.5410950902515
0.5,188191.24042995248,516.3249015389707,364.48220852611416
0.51,186965.44727184167,513.2601311816779,364.27034930882206
0.52,185729.77830056465,510.2110417716899,364.02539948101577
0.53,184341.2527038223,506.9337391543982,363.6397392119071
0.54,182911.99638854963,503.6725381716811,363.15657997260615
0.55,181563.0778641801,500.4980407372853,362.76481241908346
0.56,180184.42996294337,497.3095001604246,362.31849563464715
0.57,178787.99516777863,494.2170218613493,361.76009173948876
0.58,177243.3008686497,490.9234055580482,361.04064068237204
0.59,175803.37855550117,487.7815990878702,360.4141256747808
0.6,174172.55480223295,484.4063747028592,359.55875871590774
0.61,172694.9154637977,481.19754455470735,358.88569552782496
0.62,171115.54635299178,477.8826390776783,358.0702297184257
0.63,169402.87796331028,474.50065231438657,357.01295063988704
0.64,167725.46094501944,470.9901091251024,356.11249088984357
0.65,165862.2600491222,467.3023259601866,354.93566120887107
0.66,164068.57349859725,463.6531464490295,353.86058469600766
0.67,162265.22923847206,460.1070422055833,352.66843224270696
0.68,160330.894262844,456.33619188418317,351.3438055413661
0.69,158354.9481421251,452.53143200349376,349.9313792216372
0.7,156189.21475852752,448.46898724838724,348.2720526938492
0.71,154078.2634462752,444.42189079665854,346.6936859705059
0.72,151804.48314296643,440.23756509880036,344.8240113469138
0.73,149292.1665922223,435.7859655569887,342.5814009439435
0.74,146782.15131615795,431.2360298167613,340.37543518459694
0.75,144129.8790501717,426.5301627593254,337.91251272304197
0.76,141290.96089195012,421.30251174205216,335.3670034097905
0.77,138287.73640842823,416.01584742204943,332.4097802171821
0.78,134987.8497326543,410.20019531760624,329.0779752753093
0.79,131659.88179547462,404.31522777786745,325.63671301494765
0.8,128065.32993424173,397.92867638442806,321.82985930504117
0.81,124239.05938101256,391.207451217617,317.57845867793066
0.82,119992.28655194282,383.7170589151549,312.71032591353924
0.83,115335.72191038966,375.45304769129854,307.19079954098527
0.84,110098.24209967042,366.0285831172224,300.7913785367164
0.85,104519.43156420649,355.7737596493979,293.7806084046406
0.86,98270.49024058678,343.8115609754209,285.826602112464
0.87,91358.15020802926,329.85895014211945,276.96125925541105
0.88,83828.68935374673,313.5121719800618,267.3857567452849
0.89,75837.15868787895,293.96019008728547,257.9844524707943
0.9,67163.44470247973,267.3924580280937,251.17927856971633
