bdt_cut,N_total,sigma_N_total,N_over_sigma
0.65,147082.65915484395,789.8667783375581,186.21198306936083
0.66,146255.63624518138,781.1994603055334,187.21932576346074
0.67,145289.75219979163,771.4569258002687,188.33164541114945
0.68,144354.02320237883,761.5993202326887,189.54064081658433
0.69,143215.95084857137,751.5531559476603,190.55997531935748
0.7,142118.56049038423,741.8738674793183,191.56701256139903
0.71,140999.90166100225,731.5488386579041,192.7416109629536
0.72,139706.6581855343,721.950528642172,193.5127860468381
0.73,138496.92887316277,713.4553441293981,194.12137005177976
0.74,137290.15555601544,704.3867422252004,194.90735319961806
0.75,135996.98113108263,695.2772315339978,195.60108538435955
0.76,134323.21670237748,684.8076652227061,196.1473615496028
0.77,132513.2905097252,674.0855167517363,196.58231369259553
0.78,130822.63130159615,664.8028128823074,196.7841121706508
0.79,128824.61588163,654.0463598989193,196.96557274860368
0.8,126971.99980593164,644.3640050808907,197.05011267659515
0.81,124586.95795216075,632.5907114543182,196.94718195551255
0.82,121933.44537096097,619.3343071786521,196.87823515933255
0.83,119378.3888407823,607.2064414748706,196.6026390477987
0.84,116577.7335340987,595.1838925216716,195.86842822674996
0.85,113264.06918882052,583.4060906548484,194.142760939788
0.86,109441.84306486357,570.2759955546458,191.91030995162495
0.87,105268.65604290177,555.7459566052024,189.4186629551743
0.88,100371.19710668545,538.1468519321242,186.51265309147465
0.89,95064.78908787035,526.4234835773588,180.5861479466093
0.9,88427.66876157232,513.5707720725244,172.18205079062585
