bdt_cut,N_total,sigma_N_total,N_over_sigma
0.41,83140.48522581189,472.26631344598434,176.04576667592684
0.42,82871.85318521486,467.9450134233595,177.0974170211725
0.43,82577.53771335263,463.86630534436,178.0201251135273
0.44,82330.69003901334,459.53009802977914,179.16278039676527
0.45,82076.09216786225,455.4124447345861,180.22364807289384
0.46,81824.35474152077,451.3617570819719,181.2833131245114
0.47,81564.11068402036,447.7821390152589,182.15132667728162
0.48,81222.22753576247,443.5921277185771,183.10114733887102
0.49,80927.87871145047,439.9776204336343,183.93635256195384
0.5,80652.51447478367,435.99904145981327,184.98323804736518
0.51,80274.9678014279,432.51801075210085,185.59913299758
0.52,79954.76572792906,428.8355651184546,186.44620976304435
0.53,79693.18399839026,425.559827164327,187.26669885505262
0.54,79400.3663696271,422.35414845067265,187.9947590449686
0.55,79087.463257934,419.20160492591816,188.66211943990632
0.56,78770.69769831927,416.06698717313725,189.32215274638108
0.57,78341.1884512456,412.5666003720991,189.88737425809234
0.58,77991.92748912377,409.4044879246841,190.5009099545375
0.59,77574.5339406906,405.9655240523102,191.08650696824893
0.6,77152.60675648626,402.61528604307944,191.62860783241848
0.61,76688.70032798537,398.8989805732433,192.25093084414206
0.62,76230.5828289581,395.4811486474251,192.75402402787682
0.63,75691.5851857523,391.7938298519415,193.1923869611629
0.64,75183.15764335777,388.0258780548917,193.758101960205
0.65,74654.63843134427,384.45221999281836,194.18443840105496
0.66,74215.9606008818,380.73112091344706,194.93011346911555
0.67,73731.76995686139,377.31868218600135,195.40980459725793
0.68,73162.83588134035,373.7928117129052,195.73098676261785
0.69,72550.98824557535,369.8663877162934,196.15458623730282
0.7,71962.70920511466,366.29521495372086,196.4609589950737
0.71,71365.4698781539,362.64064273550076,196.79390963964772
0.72,70674.42491191515,359.0255886156345,196.8506623286335
0.73,69895.04128925587,355.53829204534253,196.58934875105382
0.74,69167.99214400564,351.83712190254727,196.59094461090993
0.75,68412.45386465959,348.30673130256594,196.4143891472235
0.76,67680.74597893393,344.4973188231392,196.46233012826556
0.77,66782.11932354032,340.52368772922296,196.115928876713
0.78,65634.31533028094,335.9443891036937,195.37256004005482
0.79,64517.93338549533,331.54252033825543,194.5992728765863
0.8,63162.59819898632,326.4199611187886,193.5010284986849
0.81,61698.009709574224,320.9913724382629,192.21080380109208
0.82,60186.61033448208,315.8654415955182,190.5450942352665
0.83,58487.56858459684,310.5432589806263,188.3395208016596
0.84,56624.256756374656,304.8811619585029,185.72566567455465
0.85,54544.41613569169,298.8345270400253,182.52380899877113
0.86,52131.06653140214,291.85851174087543,178.6175987140178
0.87,49466.373076031276,284.45947254593403,173.8960303670096
0.88,46547.70457290465,276.7040026031298,168.22201390294651
0.89,43065.43577025859,268.709600357089,160.2675740391441
0.9,39500.53685501154,262.7398965468203,150.34084040591273
