bdt_cut,N_total,sigma_N_total,N_over_sigma
0.61,1649.0088463677528,101.30991626784937,16.276875029765122
0.62,1639.7794944617906,99.8429801659029,16.423583227754925
0.63,1622.6941595735705,98.56201872021555,16.46368632302321
0.64,1627.1044141080854,96.99714863405093,16.774765413432874
0.65,1600.7699659105062,95.47257173479778,16.766804714940537
0.66,1582.131585375271,93.7705250696518,16.872376305881616
0.67,1587.3350433048522,92.54191171211069,17.152607007329873
0.68,1562.301486314277,90.91761365177295,17.18370537416554
0.69,1563.5071700039637,89.15956934402752,17.53605565288318
0.7,1527.5594600772185,87.35715934373327,17.486368278833016
0.71,1513.3148088471798,85.85507842506087,17.626386657698834
0.72,1508.353510185545,84.22956135901491,17.907650067847698
0.73,1521.7358030127832,82.7021133713764,18.40020455317002
0.74,1499.7606333671088,80.89003643410676,18.540733809519516
0.75,1512.555574960181,79.49809733968294,19.026311642368842
0.76,1503.8483244212587,77.84794974656116,19.317764042818474
0.77,1513.9645635516508,76.47779875621798,19.796131533251785
0.78,1481.9539345127087,74.69280353548984,19.84065216950341
0.79,1473.477725456626,73.10429201909118,20.15583059161325
0.8,1443.2902323585906,71.33757711868958,20.231837001658782
0.81,1436.2115735770508,70.66589664603023,20.323970143209557
0.82,1446.1838296925878,68.31740366015816,21.168600564602308
0.83,1418.6856839466216,66.48089498267423,21.33975007882113
0.84,1391.6248181652852,64.76156505364227,21.488437115634817
0.85,1377.9027846282015,63.14637832050975,21.82077296079327
0.86,1359.6942214025491,61.375360471367905,22.15374721973091
0.87,1308.9652834780252,59.22429017012372,22.101831524159756
0.88,1258.6644515331425,57.15670260494822,22.02129223990917
0.89,1233.4771370758529,55.15897875813374,22.3622185335323
0.9,1169.3476898973015,52.79983303483524,22.14680658413848
0.91,1114.779235623767,50.04086603597902,22.277376950715613
0.92,1038.0171262251574,47.11604803439624,22.031073689953182
0.93,968.4038996141509,44.433235683073214,21.794584272940156
0.94,907.6315595914125,41.646544299048685,21.793682401930887
0.95,803.7413372287972,37.96070143724011,21.17298434428593
0.96,698.3151457027881,34.069851540720464,20.496571429674656
0.97,554.8266683076425,29.186108205005112,19.009957216991868
0.98,347.5465221509877,22.138097079661236,15.699024216055427
0.99,110.38921581069671,14.42015367314953,7.655203842677664
