bdt_cut,N_total,sigma_N_total,N_over_sigma
0.65,357941.85303232574,813.3539471988253,440.08128842931217
0.66,354198.7365719892,804.0813397713025,440.5011272525373
0.67,350445.7736909144,794.8536419322124,440.89346164284353
0.68,346269.44141898083,785.2278970399681,440.97954584177967
0.69,342242.7347689377,775.810742374146,441.1420415778236
0.7,338103.2266756329,766.387991032788,441.16456759715584
0.71,333937.11875115836,757.2688173196829,440.97566295296957
0.72,329376.82608214533,747.7698063787166,440.47890577080705
0.73,324739.4119883352,737.9869514743395,440.03408371865595
0.74,320017.3840359848,728.2368986870553,439.4413200058209
0.75,314982.71431182337,718.320086354447,438.4991040838007
0.76,309889.67856983555,708.379279476834,437.46293482596116
0.77,304488.1033304759,698.1105977533844,436.1602650215602
0.78,298650.64298883954,687.5981245664186,434.3389435175682
0.79,292507.28122001135,676.2728167873743,432.5285209740702
0.8,285975.55983483046,664.7183936786022,430.2206205732024
0.81,279034.6625968071,652.8076084662375,427.4378223813831
0.82,271627.17189599224,640.276052292946,424.2344703089324
0.83,263788.04159772675,627.188979987572,420.58781326635204
0.84,255262.33018740817,613.3016320562358,416.21009442218843
0.85,246136.71016043227,598.6836823127866,411.12981267432707
0.86,236317.2423861617,583.2215247354786,405.19293675476723
0.87,225554.19249247905,566.3110381675493,398.2867669722983
0.88,213619.34949620857,547.8411273633417,389.92937701541155
0.89,199889.81808525475,526.9710184414246,379.3184275606866
0.9,184151.07598677528,503.2509127644239,365.9229845708755
