bdt_cut,N_total,sigma_N_total,N_over_sigma
0.7,22685.67298806841,265.2780402080468,85.51658844537965
0.71,22317.58551440382,260.10187487181065,85.80324738298363
0.72,21995.657982583227,256.1619952640836,85.86620337613849
0.73,21639.468998287095,251.33836671099257,86.09695877895855
0.74,21353.74537360563,246.56024429187903,86.60660373262357
0.75,21000.296645039143,241.4142971525145,86.98862036233139
0.76,20655.57577705634,237.01554022609417,87.14861378858342
0.77,20266.597104692373,231.94404302881404,87.37709682060982
0.78,19921.77020440769,227.3462029897842,87.6274595415296
0.79,19513.820449900337,222.2956455760922,87.78318801220387
0.8,19174.26387347916,217.7695100596641,88.04843188665774
0.81,18699.78848661555,212.8684047028703,87.84670751264105
0.82,18264.846523524255,207.831786308153,87.88283470961893
0.83,17834.83848654272,202.6653889356726,88.00140260853135
0.84,17305.53226112998,197.0035460429674,87.8437602202123
0.85,16756.095912320845,191.4531205022184,87.52062054860416
0.86,16162.686598759195,185.96643555921187,86.91184809859402
0.87,15502.595934016283,179.56052242983426,86.33632673949327
0.88,14860.375296309516,173.96250194121805,85.42286487309109
0.89,14139.275625786593,167.26223718767258,84.53357950678345
0.9,13424.147609759906,160.80222841174282,83.48234811389958
0.91,12613.783561588312,153.3787225893788,82.23946156702307
0.92,11700.773762265939,145.56338885736207,80.38266939313674
0.93,10646.009915442919,137.06054734930072,77.6737735353662
0.94,9491.372492397764,127.65849928874374,74.3497107147543
0.95,8175.78656617666,116.63803503646871,70.09537295120218
0.96,6788.000772856423,104.64918353191635,64.86434527017776
0.97,5097.398799236724,89.15277472360592,57.175997214218306
0.98,3187.87580941578,69.97820945118765,45.555264051725125
0.99,903.4956149326396,37.8087797294322,23.896450015003115
