bdt_cut,N_total,sigma_N_total,N_over_sigma
0.41,197957.25362979926,544.4820116206664,363.56986898533853
0.42,196983.7884872951,541.1981562601994,363.97719801652175
0.43,195906.9267728506,537.9443286916724,364.17695349500826
0.44,194925.473068132,534.8769048550702,364.43052840531385
0.45,193980.09865766476,531.9399445150143,364.66541130789165
0.46,192783.8888744074,528.7034182744279,364.63522309655525
0.47,191574.6424443967,525.4121558997357,364.6178343862963
0.48,190383.13199493967,522.2530118974239,364.541951234037
0.49,189211.48941421785,519.1808737226253,364.4423340512057
0.5,187998.64881338243,515.9357577451046,364.3838326597673
0.51,186772.9946858707,512.8678972907129,364.1736900915846
0.52,185535.64542224706,509.81533556799457,363.92715651744453
0.53,184150.9544291103,506.541101013067,363.5459275877395
0.54,182722.9909261225,503.28199794345966,363.06283887120117
0.55,181375.61945198596,500.11189518755975,362.67007683143316
0.56,179997.8302882581,496.9234321063152,362.2244769688142
0.57,178602.95423589268,493.83384483049593,361.6660868944626
0.58,177061.41283576397,490.5445024502414,360.94872524582877
0.59,175622.7198459609,487.4031878220128,360.3232892889774
0.6,173993.59201036242,484.0275425858088,359.47043649797405
0.61,172515.80860578478,480.81685937858265,358.7973367422009
0.62,170937.33248437292,477.5029012459429,357.9817673114615
0.63,169225.40766392183,474.1190946059038,356.92594875257026
0.64,167549.16930230934,470.61014071209814,356.02541213579525
0.65,165689.3621385112,466.92957754603106,354.84871832129147
0.66,163899.51619378774,463.3557909966927,353.7228181420476
0.67,162098.7083116345,459.76401643720084,352.5693671457117
0.68,160165.86295382385,455.97378310561925,351.26112265258
0.69,158193.21597273205,452.18091577397524,349.8449634964375
0.7,156025.65018741012,448.10519106651947,348.1897851173269
0.71,153919.5850212124,444.0758996129283,346.6064813590964
0.72,151648.34423808986,439.89350200605395,344.7387686940709
0.73,149138.5844775966,435.44624226475514,342.4959731008978
0.74,146631.0725081598,430.878354825997,340.3073532607
0.75,143980.5769797978,426.1425691078434,337.8695005317828
0.76,141146.64832770382,420.98311498310125,335.27864492467734
0.77,138146.27318114488,415.70000367638085,332.3220398349832
0.78,134851.9423841325,409.89045094682666,328.99508166787297
0.79,131525.29123243416,404.0088453650286,325.5505238099401
0.8,127935.43325210329,397.6282309484653,321.7463532378927
0.81,124112.0587974823,390.91098049275655,317.49442965514766
0.82,119868.98150228361,383.4311118562878,312.6219490170406
0.83,115217.61300246838,375.1774284606518,307.1016651380249
0.84,109986.79381906785,365.76780998943644,300.7011301028495
0.85,104413.47163407333,355.51960409334555,293.69258525236893
0.86,98167.99180178827,343.57471008554023,285.7253136511336
0.87,91268.07523624136,329.64890037722574,276.8644916813038
0.88,83743.69530416152,313.32462067882796,267.2745446008299
0.89,75761.51493946594,293.8034286146887,257.86463860101543
0.9,67098.20160644366,267.2514355236754,251.06769389270326
