bdt_cut,N_total,sigma_N_total,N_over_sigma
0.65,147891.02773215843,796.9073413809502,185.58120882144217
0.66,147059.8697329196,788.4026982977496,186.52887674083112
0.67,146088.1143961805,778.6569694427974,187.61549710486807
0.68,145146.46190789907,768.6814512014747,188.8252431238328
0.69,144005.61465941084,758.6341656544054,189.82221099308146
0.7,142901.817571149,748.7584948295175,190.85168122691667
0.71,141767.4737970345,738.554864177151,191.95252874677422
0.72,140470.40401659464,729.082856867536,192.66727052137523
0.73,139252.5739356392,720.4599354176048,193.28288373859866
0.74,138041.96933028474,711.5194418301219,194.01011583776628
0.75,136742.33465496253,702.3837669894655,194.68322173939623
0.76,135058.2501081682,691.9271882215639,195.19141957017712
0.77,133239.6266223736,681.030901569082,195.64402483850893
0.78,131540.0827538941,671.7962363428691,195.80354226152454
0.79,129529.69723388842,661.1283443164887,195.92216601725562
0.8,127667.22768735733,651.5382934718953,195.94738938067403
0.81,125263.13763800022,639.8598598320222,195.76651936079355
0.82,122595.88372428366,626.5902509757416,195.65558757636967
0.83,120024.5030798885,614.737074104801,195.2452652293208
0.84,117211.30767920901,603.4786719923552,194.22609798659767
0.85,113880.4839125287,591.6199748026742,192.48924776502315
0.86,110037.69218515481,576.994663303526,190.708336113795
0.87,105839.52869401923,563.9709531194957,187.6684040349746
0.88,100911.39161832674,546.6817848590996,184.58890420930229
0.89,95579.48239847532,536.2383407825141,178.24067234543406
0.9,88909.27154400837,524.6710688020237,169.45716436588364
