bdt_cut,N_total,sigma_N_total,N_over_sigma
0.7,3261.189409680944,177.2852794628261,18.395150570664065
0.71,3208.1833357232717,173.41079908948828,18.500481818711275
0.72,3216.857872484843,169.89830157418513,18.934020191368543
0.73,3204.9210288128093,166.17737802275826,19.286145123639454
0.74,3160.7162428879324,162.49622920086878,19.451012853848017
0.75,3136.8818112594718,158.77132045922363,19.757231987404804
0.76,3149.6110215220892,155.35597997703897,20.27351005083673
0.77,3089.2234588335577,151.44995598134975,20.397651744540482
0.78,2995.055488385531,147.74020847084088,20.27244661006863
0.79,2985.8514408397596,144.08840622968566,20.722357328875795
0.8,2956.379685400431,140.50693282016417,21.040810058705947
0.81,2874.839913144068,136.64600055023365,21.03859536003926
0.82,2781.358851813913,132.7273943846276,20.95542419640876
0.83,2769.4539542054863,128.72026162206149,21.51529152680674
0.84,2673.45295417878,124.0843592015478,21.545446753980837
0.85,2586.200339889082,119.68083988187931,21.609142636712516
0.86,2492.2901809239474,115.43681003766375,21.59008188212048
0.87,2449.6575764126897,110.89737055470768,22.08941081433693
0.88,2396.949878897344,106.50563489159674,22.505380878082185
0.89,2311.621426572095,101.54060926513819,22.765487062777957
0.9,2239.0704275669586,96.78787406565952,23.13379076854199
0.91,2108.7004262409546,90.95723231253895,23.183427778400628
0.92,1951.8708681569879,84.71741369962169,23.03978347447715
0.93,1807.538476759903,78.44085237571714,23.043330382262152
0.94,1606.1547938183512,71.41507147380791,22.490417788175456
0.95,1420.715103418959,63.77954640337437,22.275403064700903
0.96,1182.8579863600303,55.30388184844779,21.38833562536315
0.97,918.4899928137958,45.61382156652541,20.136221024020657
0.98,589.068181484855,34.12469491861243,17.262225578566657
0.99,189.92710048427074,17.61303005370994,10.78332915489832
