bdt_cut,N_total,sigma_N_total,N_over_sigma
0.41,82777.13467030434,469.20174977116335,176.4211977271525
0.42,82511.23202897809,465.0542566351517,177.42280788048026
0.43,82217.30661193193,460.97489404905974,178.35528067431338
0.44,81971.23762905585,456.74738477340617,179.46733875602163
0.45,81716.7441132865,452.7546572201955,180.48791505538037
0.46,81465.48588927333,448.72816770961043,181.54751974917883
0.47,81207.73866805548,445.1384073194706,182.43255880136542
0.48,80865.51234137887,440.98410702334,183.37511727400846
0.49,80575.51438086071,437.4000779672113,184.2146776821125
0.5,80300.48504478915,433.47200631393474,185.24952909331103
0.51,79925.78859499644,429.957873342589,185.8921386265948
0.52,79605.63903200522,426.3272473345885,186.72425825396382
0.53,79342.65866802602,423.1085787422958,187.52316226694032
0.54,79053.42983177243,419.9376034115492,188.2504190849947
0.55,78743.45389284281,416.7821375528896,188.9319306129099
0.56,78424.07643873082,413.6509401600683,189.58998717223628
0.57,77998.74930956977,410.18871205259853,190.1533294742835
0.58,77653.568779772,407.0108144726371,190.7899397719629
0.59,77239.92684406711,403.6221288963563,191.36692791167823
0.6,76820.26896957215,400.2884401973649,191.91228438097139
0.61,76359.13968458943,396.73164052556336,192.47050621784032
0.62,75905.77219536412,393.37797800829713,192.95887527736267
0.63,75369.48734639815,389.8662469649944,193.3213965895475
0.64,74863.58915584517,385.85094471703263,194.02204447302074
0.65,74337.61607520684,382.63078077129745,194.28028222235272
0.66,73900.99555636192,379.2932746608122,194.83866573286545
0.67,73418.804565856,375.56099663151144,195.49102602337646
0.68,72852.35560562159,372.0458690606539,195.81552078392951
0.69,72243.14786735218,367.97108752686694,196.32832664353674
0.7,71654.77999665856,364.5002047522537,196.58364813638838
0.71,71062.38995611834,360.8681054656779,196.9206723448633
0.72,70374.0441766548,357.1809306749093,197.02631952853673
0.73,69597.46377741641,353.68974653222165,196.7754634104893
0.74,68874.60107335457,349.9467129626288,196.8145392487506
0.75,68121.64388007618,346.3066167876386,196.7090450421558
0.76,67393.5280456576,342.6505060228256,196.68299582539706
0.77,66498.42490984162,338.7023042438103,196.33295692601376
0.78,65355.41398504883,334.2175168067553,195.54754223979634
0.79,64244.16221761732,329.85656665544525,194.76393290882748
0.8,62893.91586713222,324.7294737013886,193.68095895406023
0.81,61436.98878452272,319.42826205700663,192.3342298796291
0.82,59932.760862807016,314.61242534287334,190.49711974182404
0.83,58239.263788855256,309.26284118030924,188.31639639144385
0.84,56383.27767445713,303.60308095626453,185.7137862266273
0.85,54312.750601097985,297.62327690519334,182.4882487884141
0.86,51910.90288381292,290.6400226845239,178.60892799392522
0.87,49259.992082736106,283.5776619595204,173.7090000049714
0.88,46354.29226903936,275.9669979494776,167.97041897569807
0.89,42885.79768939508,268.03335071137667,160.00172208261992
0.9,39336.378412000355,262.3165806433516,149.9576516113654
