bdt_cut,N_total,sigma_N_total,N_over_sigma
0.61,1846.2834671870044,102.49847837448893,18.01278903323242
0.62,1839.9952364888866,112.14850418200798,16.4067746592743
0.63,1824.8826091962683,110.22411455651176,16.556110398697314
0.64,1819.361473961373,97.54795072722439,18.650945103387112
0.65,1788.925074340489,96.74735865843822,18.49068645539152
0.66,1763.1672416580814,95.36180911937768,18.489238594990148
0.67,1764.5190259373362,92.94583419921923,18.98437989329659
0.68,1739.3485905911054,91.31656107173785,19.047460506366217
0.69,1729.219113366326,90.50376936789417,19.10659771900903
0.7,1691.4564218547396,88.62071094138535,19.08646865825175
0.71,1666.451804730454,87.09182511004171,19.134422807477847
0.72,1655.1413282360318,84.60937235251978,19.562151121272787
0.73,1663.313818019288,83.1505074962685,20.003652029350892
0.74,1646.1842905054757,82.31967454767836,19.997458682274427
0.75,1661.8380523645283,80.92995744741535,20.534275622773137
0.76,1646.4886671395395,78.3272841244528,21.020627557103392
0.77,1654.550797709306,77.38442004840661,21.380929089787422
0.78,1617.2388656407272,75.62378196924404,21.38532117182996
0.79,1604.5086683448228,74.10072963389152,21.65307516231213
0.8,1573.7346090486242,72.48694236100393,21.710594457288796
0.81,1562.66023290709,70.49904343165406,22.165694126361092
0.82,1569.1537234307496,69.48476335361588,22.582702274528124
0.83,1543.5145254202032,67.46782493835904,22.877786957418767
0.84,1513.8434685436714,65.95040873853566,22.954269692935405
0.85,1498.8848742692712,64.23532040755113,23.334278785555355
0.86,1468.6985690799154,62.37668525817437,23.54563348470725
0.87,1409.2675216043765,60.290474160907465,23.374629926499235
0.88,1351.378122222846,57.92066207676611,23.331537896299853
0.89,1318.150399470308,55.80511976902244,23.620599775184363
0.9,1246.8862585536367,53.33940245271235,23.376457200829247
0.91,1184.6648058003118,50.62219952089706,23.402080846196284
0.92,1100.9789566141098,47.731797589394745,23.06594371502845
0.93,1024.1664883662932,44.94999481881226,22.784574113847594
0.94,953.5937344849643,42.130493361005556,22.634288336333032
0.95,846.1453873857744,40.5833217838021,20.849584267483344
0.96,731.1377759629034,34.39248865112621,21.258647008057146
0.97,551.9377831042393,29.24380620773456,18.87366436446497
0.98,354.7306562407593,22.26416606295626,15.932806790862472
0.99,111.52471918496055,11.929055348256062,9.348998384961355
