iter	Logloss
0	0.636178874
1	0.5910171583
2	0.5554927875
3	0.527514346
4	4	0.502800255	0.4843700378
6	0.4697913487
7	0.4561920586
8	0.4451315935
9	0.4368297147
10	0.4290198391
11	0.4221643456
12	0.417028095
1313	0.41275938914	0.4082058585
15	0.4046318719
16	0.4015255557
17	0.398888444
18	0.3967838102
19	0.3944778721
20	0.39275902
21	0.3908209207
22	0.3894240705
23	0.3878401208
24	0.3867122391
25	0.3858099245
26	0.3847443671
27	0.3838051828
28	0.3830349317
29	0.382198117
30	030	0.381359531	031	0.380582332	032	0.379904833	033	0.3794659073
34	0.3788834735
35	0.3784433435
36	0.3779008207
37	0.3774283623
38	0.3770429063
39	0.3765954398
40	0.3763275863
41	0.3759209155
42	0.3756391533
43	0.3753470712
44	0.3751034076
45	0.3748675109
46	0.374567296
47	0.3743537815
48	0.3741439304
49	0.3739594684
50	0.37378399
51	0.3736030746
52	0.3734638086
53	0.3733148682
54	0.3731572589
55	0.3730170737
5656	0.3739451659
57	0.373832828
58	0.3737174074
59	0.373622632
60	0.3734772219
61	0.3733573716
62	0.3732106034
63	0.3730934578
64	0.3729949336
65	0.3729085999
66	0.3728263806
67	0.3727573383
68	0.3727020583
69	0.3725375837
70	0.3724606005
71	0.3723381225
72	0.3722447101
73	0.3721793031
74	0.3721095732
75	0.3720470522
76	0.3719555818
77	0.3719070931
78	0.3718443789
79	0.3717723748
80	0.3716872085
81	0.3716050769
82	0.3715422022
83	0.3714825958
84	0.3714099294
85	0.3713580582
86	0.3712955427
87	0.3712522293
88	0.3711653151
89	0.37110673
90	0.3710615505
91	0.370981442
92	0.3709313714
93	0.3708358632
94	0.3707648352
95	0.3707153014
96	0.3706708716
97	0.3706096323
98	0.3705607457
99	0.3705083301
100	0.3704756192
101	0.3704106793
102	0.3703559165
103	0.3702983276
104	0.3702606282
105	0.3701916873
106	0.3701435735
107	0.3701053558
108	0.3700611822
109	0.3700138165
110	0.3699700803
111	0.3699320877
112	0.3698958427
113	0.3698180021
114	0.369777374
115	0.3697486859
116	0.3697168307
117	0.3696812454
118	0.3696364691
119	0.3696071895
120	0.369582603
121	0.3695563651
122	0.3694812212
123	0.3694256631
124	0.3693861056
125	0.3693456024
126	0.3692947948
127	0.3692671325
128	0.3692205788
129	0.3691748012
130	0.3691376695
131	0.3690963856
132	0.3690417435
133	0.3690036099
134	0.36897691
135	0.3689263837
136	0.3688833033
137	0.3688493731
138	0.3687878345
139	0.3687403154
140	0.3687049437
141	0.3686725576
142	0.3686382127
143	0.3686013755
144	0.3685545435
145	0.3685236271
146	0.3684664766
147	0.3684385979
148	0.368406631
149	0.3683347234
150	0.3682860566
151	0.3682413475
152	0.3681975562
153	0.3681503012
154	0.3681156823
155	0.3680547859
156	0.3680320286
157	0.367969889
158	0.367943578
159	0.3679021054
160	0.3678656645
161	0.3678094463
162	0.3677745593
163	0.3677192973
164	0.3676682878
165	0.3676305677
166	0.3675963497
167	0.367543126
168	0.3675065455
169	0.3674661713
170	0.3674120369
171	0.3673628054
172	0.367329082
173	0.367297775
174	0.3672596038
175	0.3672203995
176	0.3671913774
177	0.3671320817
178	0.3671075834
179	0.3670711282
180	0.3670382675
181	0.3669834174
182	0.3669503753
183	0.3669181396
184	0.3668697428
185	0.3668361027
186	0.3667928256
187	0.3667543281
188	0.3667271052
189	0.3666671405
190	0.3666444234
191	0.3666121448
192	0.3665844843
193	0.3665327224
194	0.3665112822
195	0.3664735177
196	0.3664404889
197	0.3663716491
198	0.3663419947
199	0.3662923173
200	0.3662467379
201	0.366217914
202	0.3661815227
203	0.3661462379
204	0.3661177966
205	0.3660966893
206	0.3660719394
207	0.3660445022
208	0.3659984672
209	0.3659703731
210	0.365920814
211	0.3658872682
212	0.3658607004
213	0.365830037
214	0.3658011878
215	0.365770004
216	0.3657129999
217	0.3656869737
218	0.3656560534
219	0.3656117204
220	0.3655630831
221	0.3655397498
222	0.3655099366
223	0.3654659557
224	0.3654291774
225	0.3653796377
226	0.3653410395
227	0.3653089503
228	0.3652819043
229	0.3652644445
230	0.3652416931
231	0.3652035901
232	0.3651720371
233	0.365119274
234	0.3650737312
235	0.3650475106
236	0.365020252
237	0.3649927926
238	0.3649797917
239	0.3649441811
240	0.3649136028
241	0.3648891079
242	0.364857777
243	0.364826337
244	0.3647890267
245	0.3647492603
246	0.3647095104
247	0.3646899099
248	0.3646536547
249	0.3646251073
250	0.3645997443
251	0.3645671583
252	0.3645413462
253	0.3645098705
254	0.3644840895
255	0.3644448279
256	0.3644074775
257	0.3643781141
258	0.364356881
259	0.3643094869
260	0.3642834803
261	0.3642570148
262	0.3642264188
263	0.3641996335
264	0.3641736119
265	0.3641481225
266	0.3641108175
267	0.3640829681
268	0.3640485364
269	0.3640225787
270	0.3639740736
271	0.3639512482
272	0.3639317201
273	0.3639145232
274	0.3638830479
275	0.3638506688
276	0.3638270096
277	0.3638008516
278	0.3637693685
279	0.3637345452
280	0.3636982555
281	0.3636716938
282	0.3636466071
283	0.3636133167
284	0.3635825941
285	0.3635598086
286	0.3635405417
287	0.3635141618
288	0.3634813468
289	0.3634570964
290	0.3634299535
291	0.363404636
292	0.3633829586
293	0.3633591286
294	0.3633321884
295	0.3633069995
296	0.363290122
297	0.3632605839
298	0.3632285635
299	0.3632023343
300	0.3631739272
301	0.3631430262
302	0.3631294885
303	0.3630896357
304	0.3630470446
305	0.363009762
306	0.3629860289
307	0.3629598219
308	0.362927001
309	0.3628969908
310	0.3628587334
311	0.3628227583
312	0.3627919235
313	0.3627609079
314	0.3627233347
315	0.3626909293
316	0.3626673626
317	0.3626491213
318	0.3626332433
319	0.3626082649
320	0.3625844284
321	0.3625596652
322	0.3625245608
323	0.3624928273
324	0.3624633807
325	0.3624392722
326	0.3624098613
327	0.3623735871
328	0.3623509221
329	0.362326212
330	0.3622993282
331	0.3622734292
332	0.362250835
333	0.362225101
334	0.362193894
335	0.3621614785
336	0.3621350647
337	0.3621073003
338	0.3620787975
339	0.3620450386
340	0.362014825
341	0.361990158
342	0.3619613145
343	0.361945664
344	0.3619196537
345	0.361887433
346	0.3618619781
347	0.3618336073
348	0.3618040593
349	0349	0.361326350	0350	0.36129351	0.351	0.36127352	0352	0.3612488894
353	0.361222296
354	0.3611967073
355	0.3611829247
356	0.3611557718
357	0.3611316311
358	0.3611094889
359	0.3610755572
360	0.3610481038
361	0.3610085056
362	0.3609757142
363	0.360951688
364	0.3609327652
365	0.3609039657
366	0.3608809729
367	0.3608571242
368	0.3608367957
369	0.3608179204
370	0.3607811231
371	0.3607522197
372	0.3607289615
373	0.3606972433
374	0.3606718259
375	0.3606455553
376	0.3606072827
377	0.3605804102
378	0.3605604041
379	0.3605317076
380	0.3605114849
381	0.3604854646
382	0.3604566311
383	0.3604353742
384	0.3604087198
385	0.3603769033
386	0.3603489479
387	0.360324014
388	0.36389	0.3606536038
390	0.3606217592
391	0.3605906101
392	0.3605610474
393	0.360393	0.36394	0.360394	0.3601604092
395	0.36396	0.360396	0.36397	0.360397	0.36398	0.360398	0.36399	0.360399	0.36400	0.360400	0.35401	0.360401	0.35402	0.360402	0.35403	0.360403	0.35404	0.360404	0.35405	0.360405	0.3406	0.3601406	0.3407	0.3601567833
408	0.3601329639
409	0.3601060174
410	0.3600873917
411	0.3600637743
412	0.3600408441
413	0.3600176044
414	0.3599893965
415	0.3599653423
416	0.3599398585
417	0.3599091396
418	0.3598848732
419	0.3598666551
420	0.3598490027
421	0.3598199431
422	0.3597891354
423	0.3597646731
424	0.3597376663
425	0.3597070261
426	0.3596836602
427	0.3596577041
428	0.3596296076
429	0.359609863
430	0.3595860746
431	0.3595612714
432	0.3595292981
433	0.3594911577
434	0.3594645686
435	0.3594448211
436	0.359411186
437	0.3593803246
438	0.3593597557
439	0.3593403316
440	0.3593184219
441	0.3592917072
442	0.3592559649
443	0.3592247476
444	0.3592080273
445	0.3591890067
446	0.3591642318
447	0.3591457639
448	0.3591294508
449	0.3591066009
450	0.3590831595
451	0.3590687267
452	0.3590510842
453	0.3590235164
454	0.3589984939
455	0.3589781301
456	0.3589497556
457	0.3589122006
458	0.3588886408
459	0.3588704604
460	0.3588475625
461	0.3588141107
462	0.3587846309
463	0.3587498926
464	0.3587286951
465	0.3587130121
466	0.3586950858
467	0.3586810144
468	0.3586579798
469	0.3586297956
470	0.3586073012
471	0.3585839651
472	0.358555153
473	0.358517501
474	0.3584916669
475	0.3584748001
476	0.35844936
477	0.3584320267
478	0.3584016917
479	0.3583771302
480	0.3583497105
