iter	Passed	Remaining
0	272	272699
1	432	215903
2	745	247717
3	969	241419
4	1129	224775
5	1481	245505
6	1765	250390
7	1993	247214
8	2204	242711
9	2464	243942
10	2571	231180111	2865	235960112	3074	233398
13	3189	224602
14	3465	227576
15	3657	224966
16	3926	227063
17	4228	230708
18	4534	234102
19	4565	223702
20	4762	222028
21	4936	219438
22	5116	217330
23	5413	220150
24	5681	221597
25	5922	221881
26	6150	221652
27	6322	219491
28	6501	217675
29	6652	215109
30	6831	213538
31	7225	218586
32	7423	217519
33	7690	218498
34	7789	214769
35	7902	211599
36	8043	209341
37	8262	209175338	8600	211927
39	8831	211966440	9094	212729
41	9295	212024
42	9556	212684
43	9873	214530
44	9983	211863
45	10153	210582
46	10316	209187447	10501	208289448	10699	207660449	10869	206524550	11208	208573551	11420	208210552	11701	209088553	12010	210409554	12178	209252555	12323	20773356	12708	210245
57	12965	210577
58	13312	212319
59	13539	212125
60	13831	212920
61	13949	211049
62	14181	210923
63	14388	210435
64	14598	209996
65	14802	209477
66	15002	208908
67	15308	209816
68	15372	207412
69	15756	209336
70	16086	210486
71	16250	209451
72	16436	208717
73	16594	207653
74	16863	207979
75	17084	207708
76	17418	208794
77	17734	209631
78	18067	210634
79	18231	209657
80	18555	210519
81	18907	211666
82	19137	211433
83	19406	211624
84	19602	211017
85	19890	211390
86	20072	210648
87	20108	208397
88	20282	207607
89	20608	208375
90	20818	207954
91	20914	206416
92	21158	206353
93	21313	205426
94	21430	204157
95	21517	202624
96	21654	201587
97	21956	202091
98	22334	203267
99	22659	203937
100	22873	203595
101	23084	203237
102	23285	202785
103	23458	202102
104	23686	201895
105	23942	201934
106	24257	202448
107	24461	202037
108	24778	202544
109	25127	203305
110	25328	202859
111	25493	202127
112	25755	202169
113	26064	202571
114	26270	202170
115	26456	201618
116	26698	201496
117	26869	200840
118	27157	201054
119	27346	200543
120	27497	199757
121	27753	199732
122	28014	199748
123	28168	198997
124	28340	198383
125	28546	198014
126	28860	198386
127	29208	198986
128	29681	200409
129	29961	200511
130	30116	199777
131	30300	199250
132	30526	198995
133	30941	199967
134	31170	199719
135	31343	199123
136	31506	198467
137	31587	197307
138	31617	195845
139	31777	195206
140	32081	195445
141	32320	195288
142	32562	195144
143	32847	195261
144	33117	195279
145	33269	194601
146	33562	194756
147	33820	194695
148	34015	194274
149	34236	194006
150	34564	194342
151	34816	194240
152	35054	194060
153	35309	193970
154	35469	193365
155	35724	193278
156	35937	192962
157	36113	192452
158	36333	192177
159	36488	191565
160	36739	191454
161	36905	190906
162	37123	190628
163	37440	190857
164	37683	190699
165	37752	189670
166	38056	189825
167	38314	189750
168	38441	189023
169	38654	188723
170	38885	188516
171	39160	188516
172	39338	188051
173	39503	187530
174	39827	187757
175	40112	187800
176	40348	187608
177	40523	187137
178	40619	186306
179	40812	185922
180	41064	185809
181	41192	185141
182	41489	185228
183	41829	185504
184	41958	184845
185	42061	184075
186	42152	183260
187	42218	182349
188	42314	181572
189	42444	180947
190	42571	180316
191	42740	179868
192	42932	179515
193	43076	178967
194	43409	179203
195	43535	178585
196	43874	178836
197	43928	177933
198	44115	177569
199	44392	177569
200	44554	177110
201	44823	177074
202	45134	177204
203	45394	177126
204	45438	176212
205	45458	175213
206	45479	174228
207	45590	173594
208	45781	173269
209	45799	172293
210	45828	171368
211	45960	170832
212	46176	170615
213	46199	169685
214	46496	169767
215	46864	170102
216	47189	170273
217	47212	169358
218	47232	168440
219	47251	167526
220	47313	166773
221	47445	166271
222	47680	166132
223	47954	166127
224	48166	165908
225	48268	165307
226	48661	165706
227	48790	165201
228	48992	164950
229	49142	164520
230	49451	164623
231	49725	164607
232	50035	164709
233	50228	164423
234	50330	163841
235	50477	163411
236	50592	162877
237	50726	162411
238	50939	162196
239	51072	161729
240	51246	161395
241	51606	161644
242	51817	161422
243	52102	161431
