iter	Logloss
0	0.6259428266
1	0.5722757146
2	0.5285816627
3	0.495445720944	0.466448896755	0.444602679666	0.42586283417	0.412034903
8	0.3985367328
9	0.3879761165
10	0.3788667199
11	0.3710491911
12	0.364543151
13	0.3590967537
14	0.353850996
15	0.3500207871
16	016	0.34474921717	0.34270989
18	0.3397904849
19	0.3375350834
20	020	0.334667321	0.3336774862
22	0.3317458039
23	0.3304328937
24	0.3290706943
25	0.3276662409
26	0.3267748978
27	0.3259945942
28	0.3249694803
29	0.324027003
30	0.3233318508
31	0.3228136837
32	0.3220870399
33	0.3214336685
34	0.3209083067
35	0.3203571774
36	0.3199473571
37	0.3195274614
38	0.3190732783
39	0.39	0.31809340	0.40	0.31775041	0.41	0.31744242	0.42	0.31716743	0.43	0.31692144	0.3174006675
45	0.3171508171
46	0.3169650635
47	0.3167457925
48	0.3165708947
49	0.3163626827
50	0.3161656922
51	0.3160171984
52	0.3158288236
53	0.3156508266
54	0.3154918912
55	0.3153600017
56	0.3152324035
57	0.3151105581
58	0.314985555
59	0.3148784946
60	0.3147941568
61	0.3147238591
62	0.3146383397
63	0.3145156111
64	0.3144080101
65	0.3143025812
66	0.3142399748
67	0.3141386112
68	0.3140576586
69	0.3139743448
70	0.313914047
71	0.3138185473
72	0.3137302328
73	0.3136345572
74	0.3135636823
75	0.3134842289
76	0.3134339057
77	0.3133666329
78	0.3132853946
79	0.3132308875
80	0.313186562
81	0.3131341007
82	0.3130535257
83	0.3130048071
884	0.3124268835885	0.3123855289886	0.3123292769887	0.3122813952888	0.3122312662889	0.312189191
90	0.3121653824
91	0.3121155093
92	0.3120589394
93	0.3119932589494	0.311963698995	0.3119072232996	0.3118378748997	0.3117918532998	0.3117554444999	0.31172141311100	0.311681654
101	0.3116396351
102	0.3116119632
103	0.3115771233
104	0.3115450523
105	0.3115063826
106	0.3114704584
107	0.3114065074
108	0.3113694523
109	0.3113161744
110	0.3112800046
111	0.3112540639
112	0.3112242308
113	0.3111849472
114	0.3111492748
115	0.3111158932
116	0.3110848187
117	0.3110501894
118	0.3110163854
119	0.3109874366
120	0.3109603551
121	0.3109321216
122	0.3108963064
123	0.3108699173
124	0.3108538689
125	0.3108188257
126	0.3107931659
127	0.3107406482
128	0.3107205518
129	0.3106947672
130	0.3106645499
131	0.3106278078
132	0.3105852313
133	0.3105545509
134	0.3105221085
135	0.3104871223
136	0.3104534917
137	0.3104334931
138	0.3104102177
139	0.3103718901
140	0.3103343343
141	0.3102952873
142	0.3102769066
143	0.3102419266
144	0.3102154686
145	0.3101821509
146	0.3101493472
147	0.3101131512
148	0.3100742864
149	0.3100420073
150	0.3100131757
151	0.3099829917
152	0.30996153	0.153	0.30991154	0.154	0.30988155	0.155	0.3098156	0.156	0.30982157	0.157	0.30980158	0.158	0.30976159	0.159	0.30973160	0.160	0.30971161	0.3101548446
162	0.162	0.3096467708
163	0.3096164455
164	0.3095493341
165	0.3095239312
166	0.3094875376
167	0.3094535571
168	0.3094097682
169	0.3093692226
170	0.3093335995
171	0.3092997284
172	0.3092752116
173	0.3092328606
174	0.3092028108
175	0.3091842452
176	0.309156043
177	0.309116658
178	0.3090910243
179	0.3090581584
180	0.3090228572
181	0.3089933667
182	0.3089582028
