iter	Passed	Remaining
0	177	177225
1	497	248011
2	578	192326
3	669	166618
4	776	154582
5	957	158639
6	1048	148793
77	1439	17848488	1667	18359699	1868	184995
10	1965	176728
11	2065	170100
12	2176	165215
13	2319	163330114	2415	158640115	2572	158182
16	2745	15878117	2768	151024
18	2950	152335
19	3126	153188
220	3377	15743921	3330	148064
22	3520	149529
23	3704	150649
24	3876	151171
25	4075	152676
26	4228	152367
27	4384	152200
28	4592	153753
29	4724	152748
30	4910	153481
31	5082	153742
32	5122	150103
33	5167	146822
34	5285	145719
35	5362	143604
36	5496	143050
37	5552	140559
38	5657	139410
339	5968	143242440	6082	142273441	6276	143170442	6450	143559443	6560	14254644	6604	140170
45	6794	140917
46	6923	140393
47	7134	141494
48	7356	142781
49	7621	144808
50	7717	143607
51	7904	144105
52	8051	143859
53	8186	143420
54	8348	143441
55	8541	143977
56	8723	144323
57	8786	142712
58	8904	142016
59	9038	141598
60	9171	141183
61	9306	140796
62	9445	140482
63	9621	140709
64	9814	141183
65	9893	140012
66	10161	141500
67	10281	140911
68	10390	140193
69	10525	139845
70	10714	140190
71	10848	139829
72	11018	139918
73	11177	139868
74	11234	138559
75	11245	136723
76	11259	134964
77	11388	134619
78	11440	133375779	11655	134035
80	11841	134347
81	12025	134631
82	12148	134222883	12313	13427584	12756	137323
85	12909	137201
86	13023	136676
87	13182	136613
88	13347	136627
89	13694	138462
90	13940	139248
91	14088	139049
92	14140	137912
93	14271	137553
94	14371	136907
95	14528	136810
96	14687	136731
97	14852	136700
98	15046	136934
99	15261	137349
100	15458	137592
101	15616	137484
102	15865	138168
103	16087	138603
104	16253	138541
105	16456	138790
106	16599	138538
107	16741	138270
108	16893	138096
109	17043	137894
110	17217	137894
111	17383	137822
112	17487	137265
113	17554	136434
114	17629	135669
115	17787	135551
116	17878	134927
117	18001	134553
118	18223	134915
119	18362	134659
120	18492	134335
121	18644	134180
122	18704	133364
123	18714	132206
124	18797	131581
125	19012	131880
126	19178	131835
127	19290	131414
128	19411	131067
129	19584	131065
130	19768	131134
131	19927	131041
132	20066	130810
133	20177	130401
134	20229	129615
135	20346	129259
136	20503	129159
137	20654	129017
138	20882	129351
139	21100	129619
140	21324	129910
141	21382	129201
142	21529	129023
143	21667	128799
144	21801	128553
145	22030	128864
146	22083	128145
147	22138	127446
148	22232	126978
149	22381	126827
150	22526	126656
151	22653	126382
152	22775	126081
153	22891	125756
154	23030	125551
155	23208	125564
156	23457	125954
157	23618	125866
158	23743	125584
159	23865	125295
160	23930	124703
1161	23811	123175162	24213	124333
163	24390	124332
164	24544	124211
165	24751	124354
166	24927	124341
167	25096	124286
168	25244	124129
169	25483	124420
170	25659	124397
171	25692	123681
172	25915	123886
173	26079	123804
174	26208	123552
175	26314	123201
176	26421	122851
177	26637	123009
178	26832	123069
179	26988	122949
180	27149	122846
181	27354	122943
182	27477	122671
183	27624	122509
184	27924	123017
185	28031	122673
186	28188	122552
187	28412	122719
188	28490	122253
189	28698	122345
190	28875	122303
191	29095	122444
192	29108	121713
193	29261	121570
194	29421	121459
195	29468	120880
196	29543	120422
197	29644	120075
198	29831	120073
199	30057	120229
200	30223	120143
201	30371	119983
202	30558	119976
203	30735	119927
204	30938	119981
205	31028	119595
206	31195	119506
207	31447	119740
208	31606	119622
209	31647	119055
210	31666	118412
211	31697	117817
212	31787	117450
213	31934	117290
214	32024	116927
215	32103	116522
216	32256	116389
217	32402	116233
218	32590	116225
219	32728	116036
220	32818	115680
221	33019	115715
222	33159	115538
223	33325	115449
224	33478	115313
225	33544	114882
226	33668	114651
227	33770	114347
228	33792	113772
229	34055	114010
230	34173	113764
231	34185	113165
232	34291	112882
233	34472	112844
234	34606	112654
235	34790	112627
236	34898	112351
237	35114	112425
238	35184	112032
239	35329	111876
240	35411	111523
241	35551	111356
242	35678	111146
243	35814	110966
244	35946	110773
245	36155	110819
246	36228	110444
247	36308	110097
248	36388	109751
249	36481	109443
250	36550	109069
251	36635	108744
252	36775	108582
253	36902	108381
254	37099	108389
255	37183	108064
256	37305	107851
257	37368	107471
258	37467	107195
259	37648	107152
260	37780	106973
261	37979	106981
262	38317	107376
263	38453	107203
264	38540	106896
265	38633	106604
266	38640	106081
267	38681	105651
268	38835	105533
269	38964	105348
270	39094	105165
271	39291	105162
272	39603	105464
273	39757	105342
274	39795	104914
275	39926	104734
276	40071	104591
277	40440	105029
278	40585	104882
279	40713	104692
280	40810	104421
281	41030	104466
282	41248	104506
283	41440	104476
284	41554	104249
285	41728	104174
286	41828	103915
287	41947	103703
288	42133	103656
289	42257	103457
290	42333	103143
291	42462	102957
292	42580	102744
293	42773	102713
294	42995	102751
295	43051	102393
296	43257	102391
297	43351	102122
298	43482	101943
299	43652	101856
300	43808	101733
301	43930	101535
302	44075	101388
303	44181	101152
304	44256	100846
305	44396	100690
306	44535	100531
307	44668	100358
308	44749	100071
309	45042	100255
310	45151	100029
311	45201	99675
312	45255	99330
313	45407	99201
314	45557	99069
315	45801	99139
316	45900	98897
317	46004	98662
318	46117	98452
319	46272	98329
320	46375	98096
321	46459	97825
322	46696	97874
323	46802	97650
324	46914	97438
325	47116	97412
326	47138	97016
327	47229	96762
328	47371	96614
329	47536	96513
330	47680	96369
331	47798	96173
332	47858	95859
333	48117	95947
334	48271	95822
335	48460	95768
336	48601	95616
337	48870	95717
338	49110	95758
339	49204	95513
340	49379	95427
341	49632	95491
342	49789	95368
343	49897	95153
344	50024	94974
345	50139	94771
346	50209	94487
347	50347	94328
348	50458	94122
349	50513	93809
350	50721	93785
351	50834	93581
352	50996	93470
353	51117	93281
354	51329	93259
355	51533	93224
356	51667	93059
357	51725	92759
358	51904	92676
359	51915	92294
360	52061	92152
361	52217	92029
362	52347	91860
363	52534	91790
364	52605	91519
365	52758	91389
366	52833	91126
367	52939	90917
368	52998	90628
369	53071	90365
