iter	Logloss
0	0.603990973811	0.535506767
2	0.4846319721
3	0.4471461892
4	0.4170497622
5	0.393526176166	0.376740558677	0.36280854828	0.3521753372
9	0.3437488609
10	0.3365058412
11	0.3304055849
12	0.3260326351
13	0.3223155254
14	0.3191396537
15	0.3160444127
16	0.3136847919
17	0.3118417216
1818	0.3103356919	19	0.3089943820	20	0.3075508221	21	0.306348002222	0.3053120952323	0.3045202442
24	0.303740246
25	0.3031074304
26	0.3024140137
27	0.3019311244
28	0.3014356721
29	0.3010450321
30	0.30055998
31	0.3001696879
32	0.2998600704
33	0.2995650546
34	0.2993497895
35	0.2991573666336	0.298879164837	0.297994052
38	0.2978066815
39	0.2976642091
40	0.2974408356
4141	0.29790206242	0.2971057696
43	0.2969673723
44	0.2968515558
45	0.2967266474
46	0.2966234851
47	0.2965367026
48	0.2964561829
49	0.2963772936
50	0.2962787595
51	0.2962035171
52	0.2961057762
553	0.2966791072554	0.2965863765555	0.296516456	056	0.296425357	0.2956898711
58	0.2956062666
59	0.2955381662
60	060	0.296188461	0.2954129058
62	062	0.2960563	0.263	0.29600864	0.64	0.29596665	0.65	0.29590666	0.66	0.29586267	0.2948449202
68	0.68	0.29577169	0.69	0.29572170	0.70	0.29568071	0.71	0.29563272	0.72	0.2955847074
73	0.2955468066
74	0.2955112161
75	0.295476556
76	0.295435322
77	0.295399583
78	0.2953516626
79	0.2953199323
80	0.2952941552
81	0.2952696327
82	0.2952194232
83	0.2951855066
84	0.2951572566
85	0.2951314206
86	0.295099148
87	0.2950731914
88	0.2950446065
89	0.2949990142
90	0.294954291	091	0.294935192	0.2941488999
93	0.2941189566
94	0.2940930287
95	0.2940595594
96	0.2940392373
97	0.2939992588
98	0.2939703416
99	0.2939486603
100	0.2939203899
101	0.293897265
102	0.2938703668
103	0.2938403255
104	0.2938100226
105	0.2937898315
106	0.2937668797
107	0.2937458432
108	0.2937115606
109	0.2936785775
110	0.2936454821
111	0.2936255806
112	0.293602949
113	0.293595618
114	0.2935691308
115	0.2935434087
116	0.2935170366
117	0.2934905532
118	0.2934629606
119	0.2934426684
120	0.2934208734
121	0.2933954274
122	0.2933616768
1123	0.29306584271124	0.29303884561125	0.2930153041
126	0.2929875743
127	0.2929690468
128	0.2929393325
129	0.2929097419
130	0.2928808709
131	0.2928350191
132	0.2928116283
133	0.2927872788
134	0.2927590618
135	0.2927290337
136	0.2927022717
137	0.2926845056
138	0.2926592011
139	0.292635814
140	0.2926087156
141	0.2925893303
142	0.2925628879
143	0.2925321928
144	0.2925110959
145	0.2924895504
146	0.2924625702
147	0.2924436089
148	0.2924125941
149	0.2923903576
150	0.2923559299
151	0.2923342581
152	0.2923144543
153	0.2922903217
154	0.2922683116
155	0.2922390493
156	0.2922154669
157	0.292195077
158	0.2921725125
159	0.2921503159
160	0.2921324875
161	0.2921078164
162	0.2920836546
163	0.2920620976
164	0.2920357164
165	0.2920053467
166	0.291978991
167	0.2919564452
168	0.2919320686
169	0.2919087505
170	0.2918917831
171	0.2918719076
172	0.2918516898
173	0.2918219388
174	0.2917983926
175	0.2917759935
176	0.2917512656
177	0.2917300188
178	0.2917051546
179	0.2916858369
180	0.2916585441
181	0.2916345642
182	0.291604688
183	0.2915816377
184	0.2915624707
185	0.2915329069
186	0.2915136786
187	0.2914895089
188	0.2914612538
189	0.2914350722
190	0.2914176366
191	0.2913934579
192	0.291370311
193	0.2913441923
194	0.2913188866
195	0.2912950841
196	0.2912772656
197	0.2912535757
198	0.2912246709
199	0.2912078927
200	0.291179768
201	0.2911627879
202	0.2911381435
203	0.291116384
204	0.2910877177
205	0.2910682591
206	0.2910426087
207	0.2910231873
208	0.2909931837
209	0.2909707884
210	0.2909454183
211	0.2909278738
212	0.290899802
213	0.2908788538
214	0.2908615288
215	0.2908421065
216	0.2908188789
217	0.2907945729
218	0.2907745245
219	0.2907503056
220	0.2907334158
221	0.2907054162
222	0.2906804555
223	0.2906654759
224	0.2906509024
225	0.2906332224
226	0.2906140766
227	0.2905958408
228	0.2905818337
229	0.2905620776
230	0.2905353441
231	0.2905179061
232	0.2904950049
233	0.290468673
234	0.2904453637
235	0.290429957
236	0.2904140444
237	0.2903909715
238	0.2903596975
239	0.2903388443
240	0.2903160269
241	0.2902951898
242	0.2902689828
243	0.290249318
244	0.2902315097
245	0.290202727
246	0.2901888348
247	0.290173512
248	0.2901506966
249	0.2901332213
250	0.290114075
251	0.2900925406
252	0.2900676969
253	0.2900448318
254	0.290028504
255	0.2900069291
256	0.2899888285
257	0.2899666348
258	0.2899327655
259	0.2899184222
260	0.2899009249
261	0.2898848077
262	0.289863319
263	0.2898464384
264	0.2898325324
265	0.2898118486
266	0.2897915736
267	0.2897742122
268	0.2897498337
269	0.2897229827
270	0.2897121935
271	0.2896912759
272	0.2896707186
273	0.2896536324
274	0.2896302926
275	0.2896214754
276	0.2895917705
277	0.2895719054
278	0.2895448126
279	0.2895299602
280	0.2895107246
281	0.2894884231
282	0.2894693611
283	0.2894500872
284	0.2894352368
285	0.2894129888
286	0.2893961888
287	0.289378102
288	0.2893612683
289	0.2893409088
290	0.289316715
291	0.2892980743
292	0.2892803309
293	0.2892634658
294	0.2892502577
295	0.2892347269
296	0.2892150441
