iter	Passed	Remaining
0	278	278614
1	506	252653
2	754	250726
3	1127	2806264	1346	267889
5	1676	277743
6	1996	283168
7	2273	281877
88	2719	299486
9	3058	302778
10	3251	292314
11	3614	297583
12	3891	295432
13	4108	289360
14	4358	286198
15	4435	272761
16	4464	258134117	4613	25168418	5058	261190
19	5365	262930
20	5731	267192
21	6018	267565
22	6381	271083
23	6701	272514
24	6973	271948
25	7114	266527
26	7174	258564
27	7584	263296
28	7986	267396
29	8135	263045
30	8356	261200
31	8719	263762
32	8928	261625
33	9156	260159
34	9541	263075
35	9699	259723636	9828	2558037	10197	258169
38	10435	257152
39	10860	260662
40	10908	255160
4141	11132	2539342	11373	253117
43	11640	252922
44	11847	251427
45	12201	253054
46	12613	255763
47	12962	257091
48	13323	258582
49	13637	259116
50	13707	255066
51	13775	251131
52	14134	252549
5353	14443	253025454	14639	251535555	14934	251755656	15113	2500357	15270	248006
58	15441	246274
59	15671	245516
6060	16002	2463361	16317	246872
6262	16560	246296363	16855	246516464	17116	246216565	17427	246626666	17760	2473167	17901	245354
6868	18254	246306969	18507	245897070	18824	246307171	19055	245597272	19341	245613
73	19732	246923
74	19930	245809
75	20230	245962
76	20369	244172
77	20669	244328
78	20966	244426
79	21116	242835
80	21350	242234
81	21486	240538
82	21812	240986
83	21986	239757
84	22251	239526
85	22409	238160
86	22659	237793
87	22821	236514
88	23064	236086
89	23268	235272
90	23355	233299191	23379	2307492	23673	230877
93	24094	232233
94	24462	233040
95	24787	233419
96	25064	233330
97	25380	233604
98	25598	232967
99	25814	232330
100	26072	232074
101	26321	231734
102	26501	230798
103	26741	230389
104	26906	229344
105	27171	229164
106	27385	228553
107	27764	229312
108	27919	228220
109	28291	228903
110	28397	227433
111	28614	226873
112	28807	226127
113	29131	226405
114	29467	226773
115	29684	226214
116	29931	225896
117	30014	224346
118	30308	224385
119	30645	224731
120	30863	224205
121	31087	223730
122	31206	222505
123	31514	222635
124	31784	222493
125	32165	223118
126	32609	224157
127	32861	223869
128	33191	224105
129	33779	226062
130	34096	226185
131	34460	226606
132	34646	225850
133	34953	225893
134	35307	226229
135	35391	224837
136	35468	223426
137	35831	223815
138	36194	224195
139	36571	224652
140	36799	224189
141	36911	223028
142	37159	222697
143	37244	221397
144	37581	221599
145	37846	221373
146	38183	221567
147	38406	221096
148	38633	220649
149	38826	220014
150	39090	219788
151	39400	219814
152	39531	218843
153	39732	218271
154	39967	217889
155	40189	217433
156	40424	217058
157	40608	216408
158	40797	215789
159	41123	215898
160	41404	215766
161	41795	216201
162	42076	216059
163	42300	215628
164	42564	215404
165	42727	214665
166	43008	214526
167	43139	213644
168	43379	213305
169	43553	212645
170	43867	212667
171	44051	212060
172	44256	211559
173	44547	211472
174	45005	212170
175	45256	211884
176	45563	211859
177	46016	212502
178	46302	212372
179	46617	212369
180	46951	212447
181	47128	211821
182	47479	211971
183	47789	211936
184	47934	211169
185	48045	210265
186	48323	210090
187	48664	210188
188	49099	210687
189	49353	210403
190	49535	209814
191	49955	210231
192	50268	210189
193	50596	210208
194	50835	209860
195	51042	209377
196	51245	208885
197	51491	208567
198	51808	208536
199	51939	207758
200	52133	207235
201	52345	206789
202	52558	206350
203	52826	206128
204	53128	206036
205	53395	205804
206	53670	205608
207	53912	205281
208	54178	205048
209	54519	205098
210	54805	204937
211	54990	204399
212	55270	204217
213	55314	203165
214	55474	202545
215	55714	202222
216	56084	202369
217	56433	202435
218	56678	202127
219	57017	202154
220	57301	201981
